245,104,96,91,86,82,87,90,83,81
1472129
373,279,296,242,236,225,244,324,251,246,273,234,238,224,258,225,323,236,241,225,234,276,282,285,263,270,285,269,259,290,275,352,278,451,266,271,260,269,260,268,270,263,253,270,266,283,271,272,266,299,267,257,262,354,252,271,268,258,263,282,262,272,276,271,259,272,269,363,264,284,267,271,254,275,270,270,270,258
29030,35671,22835,27091,21833,21407,22506,22087,19246,21558,21031,19750,20213,17456,21704,19735,19351,20006,20509,18961,17350,18838,19588,19150,15972,17716,18180,16105,19300,17832,16743,17191,17879,16060,15355,16479,15607,18121,15709,15742,14888,15086,14438,16259,18630,18504,14010,14523,17177,16511,15425,15176,14728,13832,14827,15131,16473,15447,13551,14375,12067,13714,14892,14178,13927,14312,14330,12581,12650,14125,11721,11810,10840,13668,16649,11888,13519,16009




184,106,104,101,92,89,95,120,88,95,119,86,90,90,95,90,112,91,92,92,86,102,108,109,100,99,104,100,105,104,103,99,107,274,96,103,102,111,103,100,98,96,97,101,108,112,100,99,107,113,106,100,102,99,100,107,110,103,100,110,104,104,105,101,100,103,101,99,103,108,98,97,96,107,103,100,103,103
