uid, ndata, decay, undecay, delete, restore, category_anon, category_reveal
1111, 6, 5134, 7035, 8258, 8608, 1688, 816
1121, 9, 5797, 8268, 8539, 9959, 1992, 1515
1131, 4, 3770, 4284, 5321, 4542, 1253, 61
1141, 7, 4790, 5646, 7321, 6750, 2229, 2107
1151, 1, 2905, 1234, 3914, 1571, 1045, 69
1161, 6, 5134, 5455, 7412, 7650, 1922, 903
1171, 6, 4472, 6027, 6401, 6390, 2260, 2432
1181, 2, 3153, 2463, 5075, 2938, 1096, 67
1191, 3, 3976, 3319, 6167, 3972, 1528, 952
1201, 4, 4621, 4900, 7086, 6163, 1647, 888
1211, 5, 5476, 5837, 7276, 8146, 1894, 1029
1221, 5, 4179, 4786, 7236, 5584, 2127, 2048
1231, 4, 4531, 4616, 5664, 5584, 1201, 71
1241, 2, 3124, 2436, 5052, 2934, 1626, 858
1251, 4, 4678, 4842, 6673, 5769, 1679, 858
1261, 6, 5338, 5652, 7683, 7931, 2095, 2006
1271, 7, 5541, 6873, 6809, 8329, 2130, 1653
1281, 6, 5099, 7439, 9452, 9286, 2266, 2325
1291, 0, 2333, 588, 2631, 631, 982, 63
1301, 4, 3866, 3952, 6514, 4793, 1145, 69
1311, 3, 4029, 3075, 5121, 4218, 2001, 1669
1321, 10, 6606, 11253, 11582, 12287, 2911, 3181
1331, 1, 3220, 1745, 3735, 1779, 1018, 67
1341, 1, 2873, 2054, 4165, 2437, 1041, 66
1351, 1, 2563, 1301, 3888, 1557, 1068, 63
1361, 5, 4525, 4049, 6227, 5674, 1781, 830
1371, 5, 4819, 5324, 6939, 6689, 1250, 76
1381, 4, 4443, 4678, 6126, 5650, 1238, 70
1391, 6, 5247, 6468, 7771, 6804, 2005, 1942
1401, 4, 4323, 3811, 6005, 5236, 1731, 813
1411, 4, 4951, 5660, 8151, 5996, 1266, 72
1421, 0, 2747, 589, 2593, 607, 958, 68
1431, 7, 4983, 7153, 7428, 7807, 2332, 2652
1441, 5, 4547, 5286, 7241, 6162, 1182, 52
1451, 7, 5606, 7183, 7815, 8061, 1278, 58
1461, 5, 4467, 6182, 8079, 7716, 1990, 1685
1471, 3, 3547, 2838, 4231, 3366, 1610, 911
1481, 4, 4030, 4026, 5963, 4929, 1624, 971
1491, 2, 2832, 2098, 3856, 2200, 1687, 967
1501, 6, 4696, 6476, 7674, 6872, 2246, 1601
1511, 4, 4572, 3992, 6488, 5648, 1171, 62
1521, 2, 3798, 2529, 5394, 3455, 1591, 891
1531, 5, 3987, 4236, 5223, 5716, 1815, 899
1541, 5, 4440, 4916, 7243, 7008, 1139, 57
1551, 7, 5908, 6930, 8530, 8493, 2006, 1712
1561, 4, 4005, 4709, 5705, 4951, 1268, 61
1571, 5, 4067, 4586, 6570, 5538, 1393, 63
1581, 4, 4182, 5105, 6742, 6226, 1623, 836
1591, 4, 4366, 3711, 5064, 5167, 1596, 892
1601, 2, 3434, 3148, 6046, 3306, 1153, 66
1611, 3, 4272, 3933, 6094, 4901, 1178, 68
1621, 3, 4355, 3665, 6576, 5215, 1281, 61
1631, 4, 4486, 3691, 5541, 5339, 2009, 1406
1641, 5, 4582, 5010, 7384, 6620, 2188, 1966
1651, 1, 2412, 1473, 3381, 1455, 938, 62
1661, 3, 3807, 3444, 5299, 3971, 1013, 60
1671, 3, 3425, 2917, 4670, 3875, 1946, 1553
1681, 6, 4761, 5910, 8071, 8581, 1906, 1762
1691, 5, 4793, 5682, 8015, 6817, 1243, 72
1701, 2, 4004, 2766, 5799, 3876, 1530, 973
1711, 4, 4318, 3490, 5229, 4860, 1775, 894
1721, 2, 3041, 2494, 4732, 2492, 1230, 64
1731, 5, 4566, 4262, 6296, 6086, 1263, 69
1741, 4, 4166, 4010, 5411, 4277, 1957, 2389
1751, 4, 5025, 5396, 7160, 5579, 1690, 943
1761, 4, 3890, 4261, 6147, 5210, 1283, 68
1771, 4, 4127, 3943, 5535, 4722, 1866, 1084
1781, 5, 4958, 5780, 7294, 6132, 1169, 56
1791, 3, 4598, 4600, 6125, 4850, 1769, 891
1801, 2, 3529, 3516, 9369, 3660, 1195, 65
1811, 2, 3969, 3535, 5956, 4357, 1074, 62
1821, 3, 4006, 3093, 5504, 3668, 1068, 64
1831, 8, 5908, 7508, 8139, 9316, 1892, 816
1841, 7, 6345, 7198, 9497, 8992, 2134, 2273
1851, 3, 3773, 4322, 19552, 5332, 1786, 846
1861, 7, 6098, 7991, 8775, 8266, 1222, 63
1871, 5, 4867, 5014, 6750, 5809, 1151, 52
1881, 6, 5786, 6441, 8566, 7837, 2061, 1587
1891, 5, 4724, 4427, 5933, 5363, 2118, 1626
1901, 4, 3497, 3704, 5046, 3802, 1637, 999
1911, 4, 4485, 4781, 5521, 5778, 1781, 893
1921, 3, 3529, 3220, 5775, 3904, 1684, 961
1931, 5, 5026, 5902, 6872, 7097, 1745, 977
1941, 2, 3049, 2518, 4152, 2573, 1556, 958
1951, 1, 2487, 1221, 3439, 1383, 1475, 884
1961, 1, 2776, 1586, 3806, 1851, 1534, 838
1971, 6, 5037, 5879, 7850, 7205, 2115, 1845
1981, 3, 3887, 3112, 5572, 3667, 1601, 1019
1991, 7, 5190, 5870, 6870, 7040, 1799, 971
2001, 5, 4399, 4928, 6641, 6035, 1254, 59
2011, 4, 3744, 4232, 5229, 4400, 1284, 62
2021, 5, 4814, 6131, 8723, 7779, 1153, 61
2031, 6, 5392, 4851, 5890, 6976, 1867, 1101
2041, 3, 3430, 2837, 4498, 3779, 1165, 67
2051, 3, 3776, 3313, 6133, 3994, 1519, 843
2061, 3, 3914, 3134, 4384, 3261, 1132, 64
2071, 4, 4026, 5020, 6096, 5246, 1066, 64
2081, 9, 6235, 8751, 9262, 12414, 1836, 895
2091, 5, 4234, 5464, 6189, 5848, 2109, 1416
2101, 6, 4616, 6032, 7269, 6524, 1996, 1484
2111, 2, 3551, 2503, 4739, 2527, 983, 64
2121, 7, 5871, 7843, 7779, 8527, 2044, 1949
2131, 3, 3619, 3046, 5840, 4237, 1646, 965
2141, 3, 4200, 3870, 6123, 4781, 1699, 1097
2151, 5, 4606, 5030, 6607, 5259, 1922, 1579
2161, 4, 4656, 4016, 5806, 5740, 1599, 979
2171, 2, 3173, 2193, 4148, 3013, 1745, 873
2181, 4, 3908, 3814, 6179, 5270, 1633, 978
2191, 3, 3975, 3602, 5212, 3936, 1070, 59
2201, 3, 3790, 3981, 5614, 4089, 1732, 882
2211, 2, 3122, 2167, 4640, 2913, 1047, 62
2221, 3, 4173, 3385, 5330, 4719, 1592, 968
2231, 4, 3792, 4230, 5269, 5087, 1094, 73
2241, 4, 4276, 4672, 6925, 6571, 1695, 890
2251, 3, 3560, 3284, 5413, 3672, 1927, 1612
2261, 3, 3936, 3243, 4854, 3299, 1096, 64
2271, 7, 5362, 8255, 9006, 10258, 1860, 895
2281, 4, 4037, 3591, 4832, 4645, 1263, 67
2291, 7, 5697, 9086, 9818, 9299, 1316, 73
2301, 5, 4791, 5307, 7004, 6466, 1293, 79
2311, 4, 4013, 3359, 5562, 3991, 1875, 997
2321, 2, 3505, 2451, 4623, 2482, 1077, 67
2331, 4, 4451, 4586, 5935, 5616, 1667, 902
2341, 5, 4498, 4658, 7023, 5616, 1744, 848
2351, 2, 3316, 2485, 5087, 2917, 1509, 974
2361, 3, 4099, 3620, 4747, 3595, 1995, 1464
2371, 4, 3578, 3993, 5448, 3983, 1641, 985
2381, 3, 4339, 4280, 5753, 4318, 1156, 59
2391, 4, 3815, 4252, 6327, 4494, 1708, 981
2401, 6, 5544, 6879, 7211, 7261, 1764, 857
2411, 4, 4161, 5017, 6348, 6265, 1761, 1007
2421, 2, 3178, 2823, 5079, 2877, 1051, 59
2431, 2, 3803, 2828, 4644, 3084, 1644, 857
2441, 5, 4477, 5808, 7316, 5991, 1361, 59
2451, 5, 5462, 6736, 8216, 8232, 1704, 907
2461, 5, 4879, 4304, 5949, 6021, 1291, 73
2471, 1, 2725, 1549, 4240, 1886, 1076, 65
2481, 4, 4165, 3362, 5505, 4015, 1714, 1021
2491, 3, 3993, 3541, 4848, 4370, 1801, 1101
2501, 3, 3419, 3198, 5523, 3830, 1191, 69
2511, 3, 3589, 2433, 4711, 2925, 1184, 65
2521, 3, 4270, 4001, 6124, 4891, 1950, 1410
2531, 2, 3711, 2474, 5079, 3482, 1022, 67
2541, 4, 4215, 3949, 4825, 4731, 1930, 976
2551, 6, 4173, 5739, 6594, 7109, 1654, 901
2561, 3, 3217, 3178, 4550, 3402, 1813, 959
2571, 5, 4389, 4934, 7301, 7119, 2033, 1940
2581, 5, 6112, 6561, 7921, 7906, 1958, 1622
2591, 3, 4572, 4264, 6771, 6228, 1516, 873
2601, 4, 4261, 3969, 5141, 4840, 1718, 969
2611, 4, 4030, 5087, 7494, 5162, 1636, 1034
2621, 2, 3623, 2482, 4346, 2952, 997, 57
2631, 1, 2743, 1806, 3680, 1990, 1103, 66
2641, 2, 3207, 2394, 5342, 3109, 1032, 53
2651, 2, 3616, 2829, 4505, 2867, 1060, 53
2661, 8, 5173, 6626, 6952, 7983, 2102, 1492
2671, 5, 4794, 5278, 6901, 6596, 1901, 977
2681, 5, 3908, 4114, 5919, 4769, 1735, 869
2691, 5, 4810, 4718, 6029, 6645, 1749, 976
2701, 7, 4926, 5888, 6762, 7230, 2015, 1533
2711, 1, 2555, 1436, 3321, 1376, 1035, 66
2721, 7, 4754, 6841, 6897, 7315, 1929, 886
2731, 2, 3013, 2185, 4723, 2656, 1559, 880
2741, 2, 3755, 2780, 4594, 2959, 1696, 883
2751, 4, 4387, 5358, 7227, 5561, 1750, 1040
2761, 3, 4390, 3511, 5606, 4205, 1841, 1708
