uid, ndata, decay, undecay, delete, restore, category_anon, category_reveal
4871, 3, 6827, 13936, 9067, 14981, 3370, 10802
4881, 4, 7820, 16208, 11565, 19556, 4232, 11375
4891, 1, 5489, 11729, 7587, 12533, 1731, 8877
4901, 1, 4922, 11377, 6300, 11870, 1780, 9295
4911, 7, 10391, 19494, 14072, 22109, 2340, 8725
4921, 4, 8793, 16482, 11739, 17649, 3532, 10852
4931, 5, 8177, 16523, 11149, 17944, 4749, 14982
4941, 7, 10318, 20932, 14638, 24560, 4305, 12092
4951, 7, 11419, 21670, 17022, 24994, 4210, 12126
4961, 3, 6651, 13481, 8726, 14914, 1954, 8900
4971, 3, 7932, 14833, 10128, 15948, 3558, 10521
4981, 5, 8080, 15818, 10559, 17109, 2239, 8972
4991, 2, 6690, 13164, 9227, 14849, 3082, 11038
5001, 4, 8567, 16781, 13459, 19041, 3412, 11022
5011, 8, 12178, 22471, 16326, 24142, 5084, 14416
5021, 11, 13040, 28287, 18501, 27376, 4757, 11116
5031, 5, 9389, 18354, 17443, 21173, 2132, 8977
5041, 3, 7332, 14584, 10457, 17025, 3549, 11082
5051, 3, 7467, 15004, 10327, 15897, 3400, 11123
5061, 1, 6308, 12455, 7674, 12170, 1760, 8604
5071, 0, 3852, 9593, 4630, 9996, 1653, 8706
5081, 5, 9010, 17116, 12610, 19647, 2060, 8962
5091, 4, 7781, 15108, 10809, 16580, 3374, 11546
5101, 4, 7779, 15845, 12343, 17067, 3549, 11120
5111, 7, 9889, 19397, 13643, 21586, 4297, 13193
5121, 5, 9503, 18865, 13985, 21201, 4009, 12487
5131, 4, 7592, 15330, 9939, 15415, 1859, 8963
5141, 4, 8258, 15398, 11528, 17631, 2352, 9070
5151, 8, 12215, 22930, 17498, 26116, 5832, 15696
5161, 2, 6281, 13231, 8047, 13553, 3300, 10874
5171, 7, 9863, 19527, 13855, 21217, 4108, 13495
5181, 8, 11971, 22856, 18217, 25702, 3616, 11377
5191, 3, 7155, 14096, 8936, 15179, 2126, 9096
5201, 4, 8178, 16405, 11912, 17136, 5018, 12360
5211, 4, 8618, 16336, 12965, 17865, 3541, 11059
5221, 4, 8686, 15782, 11635, 17711, 1915, 8955
5231, 6, 8823, 17716, 12515, 19778, 4376, 13480
5241, 8, 11469, 21439, 15700, 24368, 2220, 8890
5251, 4, 8122, 16283, 14263, 17794, 2046, 8732
5261, 3, 7513, 14837, 9779, 16128, 1921, 8983
5271, 6, 9968, 17393, 12475, 20299, 2128, 9057
5281, 3, 6990, 13846, 8929, 15202, 3590, 12372
5291, 2, 6735, 14417, 9194, 14187, 3199, 11069
5301, 4, 8333, 16094, 11810, 17808, 1971, 9168
5311, 7, 11483, 21687, 16611, 24182, 3716, 10647
5321, 2, 6956, 13571, 10461, 14762, 2086, 8773
5331, 2, 6497, 13090, 8597, 14228, 3468, 10901
5341, 4, 7925, 16308, 11671, 16913, 3596, 11051
